,P,D,Rs,Rl,CPI,lrp,lrd,lpd,ret,TSpr,lrp_1,lrd_1,lpd_1,ret_1,TSpr_1,lrp_2,lrd_2,lpd_2,ret_2,TSpr_2,lrp_3,lrd_3,lpd_3,ret_3,TSpr_3
2002,895.84,16.07,1.85,5.04,81.73,2.394,-1.626,4.021,-0.200,3.19,2.647,-1.636,4.283,-0.135,0.53,2.842,-1.566,4.408,-0.052,0.05,2.934,-1.514,4.448,0.155,-0.59
2003,1132.50,17.39,1.18,4.05,83.85,2.603,-1.573,4.176,0.284,2.87,2.394,-1.626,4.021,-0.200,3.19,2.647,-1.636,4.283,-0.135,0.53,2.842,-1.566,4.408,-0.052,0.05
2004,1181.40,19.44,1.49,4.15,85.47,2.626,-1.481,4.107,0.060,2.66,2.603,-1.573,4.176,0.284,2.87,2.394,-1.626,4.021,-0.200,3.19,2.647,-1.636,4.283,-0.135,0.53
2005,1278.73,22.22,3.41,4.22,88.01,2.676,-1.376,4.053,0.101,0.81,2.626,-1.481,4.107,0.060,2.66,2.603,-1.573,4.176,0.284,2.87,2.394,-1.626,4.021,-0.200,3.19
2006,1424.16,24.88,5.32,4.42,91.51,2.745,-1.302,4.047,0.133,-0.90,2.676,-1.376,4.053,0.101,0.81,2.626,-1.481,4.107,0.060,2.66,2.603,-1.573,4.176,0.284,2.87
2007,1378.76,27.73,5.34,4.76,93.41,2.692,-1.215,3.906,-0.012,-0.58,2.745,-1.302,4.047,0.133,-0.90,2.676,-1.376,4.053,0.101,0.81,2.626,-1.481,4.107,0.060,2.66
2008,865.58,28.39,3.42,3.74,97.46,2.184,-1.233,3.417,-0.352,0.32,2.692,-1.215,3.906,-0.012,-0.58,2.745,-1.302,4.047,0.133,-0.90,2.676,-1.376,4.053,0.101,0.81
2009,1123.58,22.41,1.02,2.52,97.44,2.445,-1.470,3.915,0.324,1.50,2.184,-1.233,3.417,-0.352,0.32,2.692,-1.215,3.906,-0.012,-0.58,2.745,-1.302,4.047,0.133,-0.90
2010,1282.62,22.73,0.45,3.73,100.00,2.551,-1.481,4.033,0.162,3.28,2.445,-1.470,3.915,0.324,1.50,2.184,-1.233,3.417,-0.352,0.32,2.692,-1.215,3.906,-0.012,-0.58
2011,1300.58,26.43,0.29,3.39,101.63,2.549,-1.347,3.896,0.035,3.10,2.551,-1.481,4.033,0.162,3.28,2.445,-1.470,3.915,0.324,1.50,2.184,-1.233,3.417,-0.352,0.32
2012,1480.40,31.25,0.12,1.97,104.60,2.650,-1.208,3.858,0.162,1.85,2.549,-1.347,3.896,0.035,3.10,2.551,-1.481,4.033,0.162,3.28,2.445,-1.470,3.915,0.324,1.50
2013,1822.36,34.99,0.15,1.91,106.27,2.842,-1.111,3.953,0.255,1.76,2.650,-1.208,3.858,0.162,1.85,2.549,-1.347,3.896,0.035,3.10,2.551,-1.481,4.033,0.162,3.28
2014,2028.18,39.44,0.13,2.86,107.95,2.933,-1.007,3.940,0.135,2.73,2.842,-1.111,3.953,0.255,1.76,2.650,-1.208,3.858,0.162,1.85,2.549,-1.347,3.896,0.035,3.10
2015,1918.60,43.39,0.25,1.88,107.85,2.879,-0.911,3.789,-0.033,1.63,2.933,-1.007,3.940,0.135,2.73,2.842,-1.111,3.953,0.255,1.76,2.650,-1.208,3.858,0.162,1.85
